ablation,variant,test_mae
backbone,dino,0.12400452047586441
backbone,resnet,0.09648708999156952
head_type,ridge,0.12400452047586441
head_type,mlp,0.24484746158123016
head_type,ensemble,0.10910727083683014
refine_budget,direct,0.10325685372547604
refine_budget,medium,0.10544433915531448
refine_budget,small,0.1059456156695033
refine_budget,tiny,0.10455247065651094
selective_threshold,lo0.3_hi0.7,0.0728061657417945
selective_threshold,lo0.3_hi0.8,0.0854448964082806
selective_threshold,lo0.3_hi0.9,0.0947176178679706
selective_threshold,lo0.4_hi0.7,0.0720742208864159
selective_threshold,lo0.4_hi0.8,0.084712951552902
selective_threshold,lo0.4_hi0.9,0.093985673012592
selective_threshold,lo0.5_hi0.7,0.0714706811008556
selective_threshold,lo0.5_hi0.8,0.0841094117673417
selective_threshold,lo0.5_hi0.9,0.0933821332270317
selective_threshold,lo0.6_hi0.7,0.0714848545531989
selective_threshold,lo0.6_hi0.8,0.084123585219685
selective_threshold,lo0.6_hi0.9,0.0933963066793749
learning_curve,25pct,0.11169310659170151
learning_curve,50pct,0.1071045771241188
learning_curve,75pct,0.11182679980993271
learning_curve,100pct,0.12400452047586441
per_param,mu,0.21391038596630096
per_param,lambda,0.18956224620342255
per_param,diffusion_rate,0.09245971590280533
per_param,alpha,0.018795562908053398
per_param,beta,0.0770304799079895
per_param,gamma,0.16302698850631714
per_param,energy_threshold,0.11324605345726013
