method,parameter,mae,rmse,r2
B0_mean,mu,0.09027283638715744,0.11876588263456739,-0.018528342247009277
B0_mean,lambda,0.15645956993103027,0.18564635170049526,-0.020995736122131348
B0_mean,diffusion_rate,0.06576284021139145,0.08296120120314744,-0.002802729606628418
B0_mean,alpha,0.011433420702815056,0.013612057541573307,-0.07768046855926514
B0_mean,beta,0.05686814710497856,0.06800989325296598,-0.016441822052001953
B0_mean,gamma,0.09496655315160751,0.12754636220795043,-0.019452929496765137
B0_mean,energy_threshold,0.06991210579872131,0.0843028334994476,-0.11111557483673096
B0_mean,AGGREGATE,0.07795363904110023,0.0,-0.03814537184579032
B3_ensemble,mu,0.09266658872365952,0.11714726790594464,0.00904470682144165
B3_ensemble,lambda,0.1675603985786438,0.19798282513039303,-0.16119766235351562
B3_ensemble,diffusion_rate,0.09834904223680496,0.12678803199773794,-1.342189073562622
B3_ensemble,alpha,0.053203284740448,0.0677501781468319,-25.697053909301758
B3_ensemble,beta,0.07830076664686203,0.09734957224485448,-1.0826027393341064
B3_ensemble,gamma,0.13423632085323334,0.17356645519741914,-0.8878288269042969
B3_ensemble,energy_threshold,0.13943451642990112,0.1702240635557464,-3.5301942825317383
B3_ensemble,AGGREGATE,0.10910727402993611,0.0,-4.670288826738085
B1_ridge_resnet,mu,0.11310552805662155,0.13826204236571055,-0.3803706169128418
B1_ridge_resnet,lambda,0.15234163403511047,0.17768241835542184,0.06472349166870117
B1_ridge_resnet,diffusion_rate,0.09070057421922684,0.10786773313791997,-0.6953074932098389
B1_ridge_resnet,alpha,0.015266990289092064,0.018685150442426753,-1.0306525230407715
B1_ridge_resnet,beta,0.08385986089706421,0.10689493029042667,-1.5110340118408203
B1_ridge_resnet,gamma,0.1156289130449295,0.15205265624667144,-0.4488353729248047
B1_ridge_resnet,energy_threshold,0.10450616478919983,0.12545713639340303,-1.4607396125793457
B1_ridge_resnet,AGGREGATE,0.09648709504732064,0.0,-0.7803165912628174
