base,dice,iou,teacher_path,student_path,teacher_area_px,student_area_px
DSC_0018_segment_1_segmented_smoothed,0.718203040298556,0.5603095208353746,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0018_segment_1_segmented_smoothed_mask.png,530138,644023
DSC_0024_segment_1_segmented_smoothed,0.7436639324459536,0.5919307354550354,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0024_segment_1_segmented_smoothed_mask.png,948339,790121
DSC_0034_segment_1_segmented_smoothed,0.40029107451029894,0.25022744333801994,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0034_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p09161772926350421_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0034_segment_1_segmented_smoothed_mask.png,203838,802090
DSC_0036_segment_1_segmented_smoothed,0.32133199412809554,0.1914208128135467,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0036_segment_1_segmented_smoothed__fused_INNER_mu0p15902600300777936_b0p25_e78__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0036_segment_1_segmented_smoothed_mask.png,114087,584835
DSC_0037_segment_1_segmented_smoothed,0.7555137472035175,0.607088865389878,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0037_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04605780529185466_e67__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0037_segment_1_segmented_smoothed_mask.png,517156,508689
DSC_0040_segment_1_segmented_smoothed,0.8065975771319968,0.6758806264139876,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0040_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p05692551986847515_e73__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0040_segment_1_segmented_smoothed_mask.png,1152521,994934
DSC_0044_segment_1_segmented_smoothed,0.7039399981011997,0.5431384326882152,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0044_segment_1_segmented_smoothed__fused_INNER_mu0p2847156791014477_b0p01_e72__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0044_segment_1_segmented_smoothed_mask.png,694039,464591
DSC_0050_segment_1_segmented_smoothed,0.30132972203088715,0.17739153144608458,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0050_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p22155840772362317_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0050_segment_1_segmented_smoothed_mask.png,138055,718515
DSC_0057_segment_1_segmented_smoothed,0.7737751823759035,0.6310222817665291,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0057_segment_1_segmented_smoothed__fused_INNER_mu0p06831355979417611_b0p21854277308854908_e60__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0057_segment_1_segmented_smoothed_mask.png,1171336,1090613
DSC_0059_segment_1_segmented_smoothed,0.7390886279421501,0.5861543041966006,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0059_segment_1_segmented_smoothed__fused_INNER_mu0p5125060148814815_b0p059102845720010164_e54__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0059_segment_1_segmented_smoothed_mask.png,632416,539641
DSC_0060_segment_1_segmented_smoothed,0.8043595943941921,0.6727437368484036,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0060_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p23969220217572187_e74__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0060_segment_1_segmented_smoothed_mask.png,880612,990663
DSC_0064_segment_1_segmented_smoothed,0.8493138654766963,0.7380934209557871,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0064_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p1589525734203885_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0064_segment_1_segmented_smoothed_mask.png,596939,678394
