base,dice,iou,teacher_path,student_path,teacher_area_px,student_area_px
DSC_0018_segment_1_segmented_smoothed,0.7113572230840013,0.5520204946062968,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0018_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p017067296341357202_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves_roi_thr0p30/DSC_0018_segment_1_segmented_smoothed_mask.png,530138,656675
DSC_0024_segment_1_segmented_smoothed,0.7451227301139963,0.5937813585400947,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0024_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04077500658462159_e79__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves_roi_thr0p30/DSC_0024_segment_1_segmented_smoothed_mask.png,948339,814635
DSC_0034_segment_1_segmented_smoothed,0.4025732364325896,0.2520135793477966,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0034_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p09161772926350421_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves_roi_thr0p30/DSC_0034_segment_1_segmented_smoothed_mask.png,203838,781225
DSC_0036_segment_1_segmented_smoothed,0.32337737193480404,0.19287427386565692,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0036_segment_1_segmented_smoothed__fused_INNER_mu0p15902600300777936_b0p25_e78__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves_roi_thr0p30/DSC_0036_segment_1_segmented_smoothed_mask.png,114087,546924
DSC_0037_segment_1_segmented_smoothed,0.744029183271123,0.5923936873062988,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0037_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p04605780529185466_e67__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves_roi_thr0p30/DSC_0037_segment_1_segmented_smoothed_mask.png,517156,550579
DSC_0040_segment_1_segmented_smoothed,0.8105299038264672,0.6814210011953239,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0040_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p05692551986847515_e73__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves_roi_thr0p30/DSC_0040_segment_1_segmented_smoothed_mask.png,1152521,1006701
DSC_0044_segment_1_segmented_smoothed,0.7088115403135826,0.5489605603241894,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0044_segment_1_segmented_smoothed__fused_INNER_mu0p2847156791014477_b0p01_e72__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves_roi_thr0p30/DSC_0044_segment_1_segmented_smoothed_mask.png,694039,470990
DSC_0050_segment_1_segmented_smoothed,0.29506447144136755,0.1730648851518847,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0050_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p22155840772362317_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves_roi_thr0p30/DSC_0050_segment_1_segmented_smoothed_mask.png,138055,720232
DSC_0057_segment_1_segmented_smoothed,0.782020484264905,0.6420637409430708,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0057_segment_1_segmented_smoothed__fused_INNER_mu0p06831355979417611_b0p21854277308854908_e60__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves_roi_thr0p30/DSC_0057_segment_1_segmented_smoothed_mask.png,1171336,1116957
DSC_0059_segment_1_segmented_smoothed,0.7516562338057534,0.6021227919431875,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0059_segment_1_segmented_smoothed__fused_INNER_mu0p5125060148814815_b0p059102845720010164_e54__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves_roi_thr0p30/DSC_0059_segment_1_segmented_smoothed_mask.png,632416,583294
DSC_0060_segment_1_segmented_smoothed,0.7956489555053295,0.6606453817119187,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0060_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p23969220217572187_e74__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves_roi_thr0p30/DSC_0060_segment_1_segmented_smoothed_mask.png,880612,1053912
DSC_0064_segment_1_segmented_smoothed,0.8432929001921601,0.7290461866554236,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0064_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p1589525734203885_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves_roi_thr0p30/DSC_0064_segment_1_segmented_smoothed_mask.png,596939,716505
