method,ood_split,n,mean_mae,mean_r2
B0_mean,id,146,0.08538634024028267,-0.005102753639221191
B0_mean,ood,28,0.07652785815298557,-0.06544474193028041
B0b_knn,id,146,0.038709790933077796,0.5173421920486738
B0b_knn,ood,28,0.017637733281616004,0.7187538874596185
B1_ridge_dino,id,146,0.053570585059268136,0.06447528941290719
B1_ridge_dino,ood,28,0.025804142401154553,0.4928949645587376
B1_ridge_resnet,id,146,0.04470358310001237,0.2662127699170794
B1_ridge_resnet,ood,28,0.018251831044576,0.7091879504067558
B2_mlp_dino,id,146,0.15009986289909907,-31.266858867236547
B2_mlp_dino,ood,28,0.12200507095881871,-33.48604033674513
B3_ensemble,id,146,0.06460427067109517,-1.1554282307624817
B3_ensemble,ood,28,0.04884467540042741,-1.4662721923419408
