split,method,parameter,mae,rmse,r2,branch,backbone,mean_mae,mu,lambda,diffusion_rate,alpha,beta,gamma,energy_threshold
test,handcrafted_ridge,mu,0.1433070749044418,0.1680031563761783,-0.0293214321136474,patch,,,,,,,,,
test,handcrafted_ridge,lambda,0.1432494223117828,0.1723043595014488,-0.1533821821212768,patch,,,,,,,,,
test,handcrafted_ridge,diffusion_rate,0.0835685357451438,0.0963816625009026,-0.0622024536132812,patch,,,,,,,,,
test,handcrafted_ridge,alpha,0.0128587745130062,0.0152768338317856,-0.1261277198791504,patch,,,,,,,,,
test,handcrafted_ridge,beta,0.0600681789219379,0.0697918029713841,-0.0403573513031005,patch,,,,,,,,,
test,handcrafted_ridge,gamma,0.0908903330564498,0.1150055326421486,0.0023950934410095,patch,,,,,,,,,
test,handcrafted_ridge,energy_threshold,11.016963005065918,13.658769946812962,0.0722241997718811,patch,,,,,,,,,
test,handcrafted_ridge,AGGREGATE,1.6501293320740973,2.0422190420909727,-0.0481102636882237,patch,,,,,,,,,
val,handcrafted_ridge,mu,0.1343279033899307,0.1596845390750774,-0.0196226835250854,patch,,,,,,,,,
val,handcrafted_ridge,lambda,0.1520485877990722,0.1801964455930096,-0.1350756883621215,patch,,,,,,,,,
val,handcrafted_ridge,diffusion_rate,0.0831650644540786,0.0967824130073092,-0.0492453575134277,patch,,,,,,,,,
val,handcrafted_ridge,alpha,0.0134450187906622,0.0154943329712481,-0.05084228515625,patch,,,,,,,,,
val,handcrafted_ridge,beta,0.066038504242897,0.0772694772949925,-0.0413873195648193,patch,,,,,,,,,
val,handcrafted_ridge,gamma,0.1000522151589393,0.1259688293685795,0.0399988293647766,patch,,,,,,,,,
val,handcrafted_ridge,energy_threshold,12.182010650634766,15.101687285277254,-0.2764849662780761,patch,,,,,,,,,
val,handcrafted_ridge,AGGREGATE,1.8187268492100488,2.251011903226781,-0.0760942101478576,patch,,,,,,,,,
test,handcrafted_mlp,mu,0.2811215221881866,0.3461799027827791,-3.3703866004943848,patch,,,,,,,,,
test,handcrafted_mlp,lambda,0.3173356354236603,0.4045046581075548,-5.356642246246338,patch,,,,,,,,,
test,handcrafted_mlp,diffusion_rate,0.6142407655715942,0.7016520436666756,-55.29399490356445,patch,,,,,,,,,
test,handcrafted_mlp,alpha,0.3531852066516876,0.5437201371159068,-1425.5,patch,,,,,,,,,
test,handcrafted_mlp,beta,0.3183079659938812,0.4776073633195845,-47.720947265625,patch,,,,,,,,,
test,handcrafted_mlp,gamma,0.7773879170417786,0.8855669716808208,-58.151248931884766,patch,,,,,,,,,
test,handcrafted_mlp,energy_threshold,39.57737350463867,42.02421525702473,-7.78251838684082,patch,,,,,,,,,
test,handcrafted_mlp,AGGREGATE,6.034136073929923,6.483349476242578,-229.0251054763794,patch,,,,,,,,,
val,handcrafted_mlp,mu,0.2522294223308563,0.3138457765142506,-2.938640832901001,patch,,,,,,,,,
val,handcrafted_mlp,lambda,0.3212773203849792,0.3968419309040146,-4.505128860473633,patch,,,,,,,,,
val,handcrafted_mlp,diffusion_rate,0.6061819195747375,0.726269406504208,-58.085330963134766,patch,,,,,,,,,
val,handcrafted_mlp,alpha,0.358219563961029,0.530391925760164,-1230.3614501953125,patch,,,,,,,,,
val,handcrafted_mlp,beta,0.3242535591125488,0.4665225990899224,-36.96135711669922,patch,,,,,,,,,
val,handcrafted_mlp,gamma,0.7659099698066711,0.8525566457571607,-42.97360229492188,patch,,,,,,,,,
val,handcrafted_mlp,energy_threshold,40.36677169799805,42.55627879918985,-9.136594772338867,patch,,,,,,,,,
val,handcrafted_mlp,AGGREGATE,6.142120493309839,6.548958154817081,-197.851729290826,patch,,,,,,,,,
test,handcrafted_ensemble,mu,0.2841815948486328,0.3446655975984826,-3.3322348594665527,patch,,,,,,,,,
test,handcrafted_ensemble,lambda,0.2681255340576172,0.3204802678538618,-2.990095615386963,patch,,,,,,,,,
test,handcrafted_ensemble,diffusion_rate,0.2316475659608841,0.2911458588101416,-8.692586898803711,patch,,,,,,,,,
test,handcrafted_ensemble,alpha,0.1228484064340591,0.151518106595441,-109.77710723876952,patch,,,,,,,,,
test,handcrafted_ensemble,beta,0.1252373605966568,0.1560107127406275,-4.198553562164307,patch,,,,,,,,,
test,handcrafted_ensemble,gamma,0.2687212526798248,0.3393345888149878,-7.685151100158691,patch,,,,,,,,,
test,handcrafted_ensemble,energy_threshold,38.38533401489258,40.922404480633375,-7.32802677154541,patch,,,,,,,,,
test,handcrafted_ensemble,AGGREGATE,5.669442247067179,6.075079944720988,-20.57196514947074,patch,,,,,,,,,
val,handcrafted_ensemble,mu,0.2577235996723175,0.3220493631391264,-3.14723539352417,patch,,,,,,,,,
val,handcrafted_ensemble,lambda,0.3166465163230896,0.3708294780759397,-3.807074546813965,patch,,,,,,,,,
val,handcrafted_ensemble,diffusion_rate,0.228344976902008,0.2846376196778049,-8.075462341308594,patch,,,,,,,,,
val,handcrafted_ensemble,alpha,0.1201297417283058,0.169200753719444,-124.31307220458984,patch,,,,,,,,,
val,handcrafted_ensemble,beta,0.106858916580677,0.1315327301232133,-2.017616033554077,patch,,,,,,,,,
val,handcrafted_ensemble,gamma,0.346594899892807,0.4020089172849837,-8.777255058288574,patch,,,,,,,,,
val,handcrafted_ensemble,energy_threshold,39.112430572509766,41.43964307947992,-8.611623764038086,patch,,,,,,,,,
val,handcrafted_ensemble,AGGREGATE,5.784104174801281,6.159985991642919,-22.6784770488739,patch,,,,,,,,,
test,dino_ridge,mu,0.2350384145975113,0.2984582818869287,-2.2485039234161377,patch,,,,,,,,,
test,dino_ridge,lambda,0.2464949041604995,0.3224186389521299,-3.038508415222168,patch,,,,,,,,,
test,dino_ridge,diffusion_rate,0.1530399024486541,0.2029808431551107,-3.711167812347412,patch,,,,,,,,,
test,dino_ridge,alpha,0.0227685552090406,0.0293553573307427,-3.158107280731201,patch,,,,,,,,,
test,dino_ridge,beta,0.1003842428326606,0.1331088742263425,-2.784318685531616,patch,,,,,,,,,
test,dino_ridge,gamma,0.1733566969633102,0.2263759881218672,-2.8652877807617188,patch,,,,,,,,,
test,dino_ridge,energy_threshold,20.51546287536621,26.75852188840676,-2.5607709884643555,patch,,,,,,,,,
test,dino_ridge,AGGREGATE,3.06379222736827,3.995888553154269,-2.9095235552106584,patch,,,,,,,,,
val,dino_ridge,mu,0.2834280133247375,0.3632530283476791,-4.276333332061768,patch,,,,,,,,,
val,dino_ridge,lambda,0.2678086459636688,0.3263078508935447,-2.722094774246216,patch,,,,,,,,,
val,dino_ridge,diffusion_rate,0.142084002494812,0.1938491648271795,-3.2093210220336914,patch,,,,,,,,,
val,dino_ridge,alpha,0.0235953070223331,0.0297528584265609,-2.8747990131378174,patch,,,,,,,,,
val,dino_ridge,beta,0.1110899969935417,0.1539219211694084,-3.132351875305176,patch,,,,,,,,,
val,dino_ridge,gamma,0.1878736913204193,0.2340381745149272,-2.313743829727173,patch,,,,,,,,,
val,dino_ridge,energy_threshold,23.905153274536133,33.05931909615748,-5.117198944091797,patch,,,,,,,,,
val,dino_ridge,AGGREGATE,3.5601475616650924,4.908634584905255,-3.377977541514805,patch,,,,,,,,,
test,dino_mlp,mu,0.7027133703231812,0.8777590236759527,-27.09744071960449,patch,,,,,,,,,
test,dino_mlp,lambda,0.439475804567337,0.5782837778575762,-11.99160385131836,patch,,,,,,,,,
test,dino_mlp,diffusion_rate,0.991885244846344,1.1330909123792992,-145.8074188232422,patch,,,,,,,,,
test,dino_mlp,alpha,1.2639421224594116,1.6091215063652944,-12492.9169921875,patch,,,,,,,,,
test,dino_mlp,beta,0.5366098880767822,0.7024612684874345,-104.3946304321289,patch,,,,,,,,,
test,dino_mlp,gamma,0.529573917388916,0.7188567206722435,-37.97676467895508,patch,,,,,,,,,
test,dino_mlp,energy_threshold,40.27399826049805,42.66418767721061,-8.052046775817871,patch,,,,,,,,,
test,dino_mlp,AGGREGATE,6.391171229737146,6.897680126664059,-1832.605271066938,patch,,,,,,,,,
val,dino_mlp,mu,0.6217492818832397,0.7819101977335,-23.447111129760746,patch,,,,,,,,,
val,dino_mlp,lambda,0.5589104890823364,0.7083410702077153,-16.539501190185547,patch,,,,,,,,,
val,dino_mlp,diffusion_rate,0.959132432937622,1.144107414641426,-145.6282958984375,patch,,,,,,,,,
val,dino_mlp,alpha,1.2788619995117188,1.5765604251662666,-10878.6025390625,patch,,,,,,,,,
val,dino_mlp,beta,0.615112841129303,0.7400459714090312,-94.5242691040039,patch,,,,,,,,,
val,dino_mlp,gamma,0.571043074131012,0.7355308364845609,-31.730098724365234,patch,,,,,,,,,
val,dino_mlp,energy_threshold,40.99403381347656,43.0947612508252,-9.394742012023926,patch,,,,,,,,,
val,dino_mlp,AGGREGATE,6.514120561735971,6.9687510237811,-1599.9809367316109,patch,,,,,,,,,
test,dino_ensemble,mu,0.2593797743320465,0.3159218954464295,-2.6397838592529297,patch,,,,,,,,,
test,dino_ensemble,lambda,0.4352444112300873,0.5514329882500643,-10.813162803649902,patch,,,,,,,,,
test,dino_ensemble,diffusion_rate,0.2388812154531479,0.3089353023291136,-9.913235664367676,patch,,,,,,,,,
test,dino_ensemble,alpha,0.4335258901119232,0.4986636662154954,-1198.8760986328125,patch,,,,,,,,,
test,dino_ensemble,beta,0.2150111496448516,0.2790760154057051,-15.634843826293944,patch,,,,,,,,,
test,dino_ensemble,gamma,0.6194901466369629,0.7147348456469078,-37.531063079833984,patch,,,,,,,,,
test,dino_ensemble,energy_threshold,39.59833908081055,42.06382769774925,-7.79908275604248,patch,,,,,,,,,
test,dino_ensemble,AGGREGATE,5.971410238317081,6.39037034443471,-183.31532437460763,patch,,,,,,,,,
val,dino_ensemble,mu,0.2544281482696533,0.3173492531273448,-3.027065753936768,patch,,,,,,,,,
val,dino_ensemble,lambda,0.4860037863254547,0.5682065830469034,-10.286126136779783,patch,,,,,,,,,
val,dino_ensemble,diffusion_rate,0.2702750563621521,0.3243687064602175,-10.785881996154783,patch,,,,,,,,,
val,dino_ensemble,alpha,0.3852475881576538,0.4833853209286205,-1021.771728515625,patch,,,,,,,,,
val,dino_ensemble,beta,0.2159664034843444,0.2771258102331159,-12.395234107971191,patch,,,,,,,,,
val,dino_ensemble,gamma,0.609160304069519,0.6934793287935545,-28.09461212158203,patch,,,,,,,,,
val,dino_ensemble,energy_threshold,40.46162414550781,42.59928803184758,-9.15709400177002,patch,,,,,,,,,
val,dino_ensemble,AGGREGATE,6.097529347453799,6.466171862062476,-156.50253466197424,patch,,,,,,,,,
test,resnet_ridge,mu,0.3049472570419311,0.4084989215224934,-5.08552360534668,patch,,,,,,,,,
test,resnet_ridge,lambda,0.3348081409931183,0.4386037799162656,-6.473524570465088,patch,,,,,,,,,
test,resnet_ridge,diffusion_rate,0.1875732839107513,0.2464552222784027,-5.9453558921813965,patch,,,,,,,,,
test,resnet_ridge,alpha,0.0295245796442031,0.0440178259642712,-8.349279403686523,patch,,,,,,,,,
test,resnet_ridge,beta,0.1372195780277252,0.2001247653870455,-7.554121017456055,patch,,,,,,,,,
test,resnet_ridge,gamma,0.203573927283287,0.282237900766887,-5.008302211761475,patch,,,,,,,,,
test,resnet_ridge,energy_threshold,25.25907325744629,31.751825235121817,-4.013687133789063,patch,,,,,,,,,
test,resnet_ridge,AGGREGATE,3.779531432049615,4.767394807279598,-6.061399119240897,patch,,,,,,,,,
val,resnet_ridge,mu,0.2967351675033569,0.403848260963099,-5.521540641784668,patch,,,,,,,,,
val,resnet_ridge,lambda,0.3608717620372772,0.5022546775243084,-7.818208694458008,patch,,,,,,,,,
