branch,budget_name,dataset_name,target_name,runtime_sec_mean,uncertainty_mean,mae,rmse,r2,n_valid,n_total,mae_mu,rmse_mu,r2_mu,mae_lambda,rmse_lambda,r2_lambda,mae_diffusion_rate,rmse_diffusion_rate,r2_diffusion_rate,mae_alpha,rmse_alpha,r2_alpha,mae_beta,rmse_beta,r2_beta,mae_gamma,rmse_gamma,r2_gamma,mae_energy_threshold,rmse_energy_threshold,r2_energy_threshold
full,direct,external_unique,full_target,0.0,0.05123804585826885,0.12273061657857554,0.14413172815676187,-7.960722190401522,4,4,0.16408675320626587,0.18071344179404758,-1.2262327183798232,0.16507617069516145,0.16794263435198184,-18.375822368523817,0.08317569465671185,0.08904593659427672,-2.516870968132732,0.026656103020049747,0.026894237420229904,-2.6832758078887924,0.16425127131972156,0.16558721858990158,-26.143835880863985,0.04037961043844984,0.040914064699893365,0.0,0.21548871271366843,0.21635628595230197,-4.77901758902151
full,direct,external_unique,patch_target,0.0,0.05123804585826885,0.08398786258624773,0.1059564791643537,-31.200745896901427,4,4,0.08538111231297918,0.08538865886780465,-3.0535505688822644,0.11534349864204475,0.11862028516769027,-5.565531794882326,0.05899028554473086,0.06882039378637758,-7.726126294780197,0.0264192021949112,0.026609620405387516,-12.41675150026237,0.08363972909604936,0.10313202929744114,-184.9434172895664,0.0175904904930487,0.018080508141208006,-1.7021837922399148,0.20055071981997008,0.2020346368352539,-2.997660037696533
full,direct,primary,full_target,0.0,0.038541967246977324,0.07751986536796134,0.1051302795257972,-1.6195396341687733,348,348,0.11664231755847337,0.14498619904700696,0.15967830457050547,0.10928493779632974,0.1327748340234853,0.17005479379716382,0.06668775699452299,0.08645624923867766,-0.2611428349025855,0.033613305371055696,0.04540860138257157,-10.794577650223946,0.06741763062929645,0.08558247023675399,-0.269815688362534,0.05664043841633222,0.08317535059451824,-0.20803566225651338,0.09235267080971891,0.1222184641445631,-0.13293870180351974
full,direct,primary,patch_target,0.0,0.038541967246977324,0.06778025495270683,0.09026372013348283,-7.609083189101346,348,348,0.08627366999675112,0.10847002075368006,-0.8181959850366873,0.08052524204271189,0.10331987565738315,-0.7592826784371232,0.05247300731608325,0.07215414997205381,-1.7191583605195908,0.034312625707636636,0.04566144388776439,-43.57628702281456,0.050945793982213855,0.06450810076014193,-3.663118255086113,0.08756204795097179,0.10948257857612126,-1.1304759981190045,0.08236939767257928,0.10560830084196417,-1.5970640236962752
full,full,external_unique,full_target,445.38425278663635,0.05123804585826885,0.13629815486894156,0.16651176835230264,-9.326285576764088,2,2,0.23682326404363702,0.24880922200951106,-3.220098549915182,0.20425804688576665,0.20653795396498478,-28.3047460832773,0.12832399448405385,0.14489638359471288,-8.312007447397153,0.020781581191363897,0.025803884229246364,-2.3906732582068053,0.13696438292869195,0.13878837900413332,-18.068819377564516,0.006935814549077747,0.009808723001410382,0.0,0.22,0.2202271554554524,-4.987654320987651
full,full,external_unique,patch_target,445.38425278663635,0.05123804585826885,0.09027167667298765,0.11607292902319939,-26.371568577416898,2,2,0.15811762315035033,0.15812690599721885,-12.901022844399817,0.06687031013470503,0.08585318423123438,-2.439258317320425,0.10413858537207286,0.12600496682069084,-28.2524682314651,0.020544680366225348,0.022251730528863447,-8.382046938732223,0.06177292419180764,0.08361541017499192,-121.2267687424491,0.029262956397326005,0.034321686710176755,-8.73712771669977,0.19119465709842642,0.19337445578178367,-2.6622872508518527
full,full,primary,full_target,427.74793104193674,0.03854196724697732,0.07524031910718808,0.1116916854979791,-0.3086790607735462,174,174,0.1338772355169691,0.17733496698289866,-0.2571323549314921,0.11928015384616884,0.14820304977521354,-0.03402768808061629,0.06792213331454276,0.08510002980867797,-0.22188665131467222,0.01697742275502508,0.02050445899199103,-1.4049318432432414,0.0650378277176594,0.08298676851956116,-0.1939572037156605,0.034736885887307715,0.07663770305237265,-0.025593912831585408,0.0888505747126436,0.11614992293454673,-0.023223771297559148
full,full,primary,patch_target,427.74793104193674,0.03854196724697732,0.07877713267444443,0.10620585535883811,-2.9454449439561934,174,174,0.13955716734076076,0.16547841920766732,-3.231593826753282,0.10236251080398015,0.1272343552816318,-1.6679437207276595,0.054827385999616694,0.06762112681901508,-1.3882329091911396,0.01743894435185579,0.019642491222056278,-7.248932421337187,0.05502763173945212,0.06612982241519985,-3.9005252448638785,0.10222529984502228,0.12679260003644702,-1.8574222759736765,0.08000098864042318,0.09989062273189578,-1.3234642088465418
full,large,external_unique,full_target,223.58235263824463,0.05123804585826885,0.11580320065524706,0.1461178177504453,-7.382825346886449,2,2,0.15876824546459323,0.2146541061688892,-2.1410008046969,0.12020142466832337,0.120257796256203,-8.934927540244665,0.14155842086058545,0.1430759596757473,-8.079492147407393,0.0222331360992075,0.026063559899704006,-2.4592602698595982,0.16536174392723796,0.1653845823086668,-26.077442345008933,0.0024994335667818945,0.0035347328483935144,0.0,0.2,0.2009975124224178,-3.9876543209876525
full,large,external_unique,patch_target,223.58235263824463,0.05123804585826885,0.089600698164372,0.10997326672197114,-29.061052261855817,2,2,0.08006260457130651,0.1062700076931178,-5.278510636862215,0.08812883937501008,0.08978898402694843,-2.7618207381955653,0.11737301174860446,0.11988908276500884,-25.481736677904134,0.02199623527406895,0.023038950242510955,-9.057623894880436,0.08475020170356576,0.09231453137154426,-147.9820069213652,0.03369933737962186,0.03630224566069958,-9.893328582133467,0.20119465709842638,0.2013937646253132,-2.9723383816496822
