patch_size,stride,aggregation_method,patch_count_mean,mae,rmse,r2,mae_mu,rmse_mu,r2_mu,mae_lambda,rmse_lambda,r2_lambda,mae_diffusion_rate,rmse_diffusion_rate,r2_diffusion_rate,mae_alpha,rmse_alpha,r2_alpha,mae_beta,rmse_beta,r2_beta,mae_gamma,rmse_gamma,r2_gamma,mae_energy_threshold,rmse_energy_threshold,r2_energy_threshold
112,56,mean,5.0,0.07362678519806555,0.09653881545069257,-10.253242911648742,0.09039796456752212,0.1155743207214569,-0.7945105353635744,0.09236430421727805,0.11111996247767167,-1.2170952895743885,0.05821897395407885,0.07377401493643398,-2.0697036289089095,0.04570886321125755,0.05736519434079501,-59.54318422972391,0.06736265158663005,0.08212137541772266,-4.529380423804374,0.05993917501983919,0.07996341600049582,-0.4576555195644445,0.10139556382985306,0.13289729699482059,-3.1611707546015966
112,56,uncertainty_weighted,5.0,0.0683713677424435,0.09140211146138907,-8.00071180553811,0.08495557077962805,0.10823134717588306,-0.5737271655674976,0.0882583763386094,0.1093260154751161,-1.1460865219496013,0.05208522675004056,0.06628252674967512,-1.4779225075764133,0.0387141943420009,0.050597327159080184,-46.10027808587066,0.058094369811852,0.07384263750523605,-3.470729998368877,0.057538781321267995,0.07519969541684308,-0.2891527731597463,0.09895305485370552,0.1294334868322314,-2.947085586273968
112,56,lesion_weighted,5.0,0.07362160569422106,0.09651503952558671,-10.277617673455099,0.09038858258194246,0.11557455784120559,-0.7945178988388,0.0923923592212878,0.1111191975300707,-1.2170647648001252,0.05817838354419806,0.07376116410407338,-2.068634287326125,0.04577520471210781,0.057445231020813475,-59.71224339162705,0.06745538974376673,0.08224326680993854,-4.545806940434185,0.05982529422618414,0.07979000637392937,-0.45134019612577436,0.10133602583006053,0.13277820435868531,-3.15371623503364
112,56,topk_confident,5.0,0.08241333381832618,0.10832167028131034,-15.446244972222555,0.10712148756633723,0.129043542293536,-1.2371539202614925,0.0961571815005179,0.1294401862525774,-2.008419849338576,0.06516268557152192,0.0882726328711914,-3.3948268543311846,0.054938345855990375,0.07154001124115793,-93.1599736563997,0.05852496015346967,0.07112171897623816,-3.1473294056253627,0.07437695753202128,0.09650150248886348,-1.1229529754957537,0.12061171854842487,0.14644870203530175,-4.053058144105814
112,56,robust_median,5.0,0.08177102837603498,0.10408451637288706,-15.796931199241259,0.0946447050167889,0.11367809096360572,-0.7361084729620078,0.09669440386949124,0.11051805171744866,-1.1931413723399475,0.07283133973134716,0.0934133001363435,-3.9216082238951593,0.057858542081870266,0.07226108213712705,-95.06766660849148,0.06629721157169535,0.08333365323966384,-4.6938350794273624,0.06588240458541338,0.08582280474075105,-0.6791041341989774,0.11818859177563847,0.14980119328518465,-4.287054503373878
112,56,selective_mixture,5.0,0.0703205495525584,0.09329252944246678,-8.823995009393625,0.0861818415527831,0.11128626791622881,-0.6638204948336868,0.09030639903229136,0.10961276662648207,-1.157359224702577,0.05454775917505359,0.06945528434010012,-1.7208224110550159,0.040916437908262576,0.05314360010635476,-50.960134092456336,0.0626398046345455,0.07747890526428149,-3.9218796820042163,0.05828096267330825,0.07690958281269039,-0.34844468314796506,0.09937064189166436,0.13022494718669905,-2.995504477555584
224,112,mean,5.0,0.07585975114385263,0.09761940273418471,-9.71732013372119,0.07529161555416401,0.09437052983919621,-0.5276393754916755,0.08546058975915537,0.11318606613238157,-1.679645758522906,0.06842581628955326,0.08043704805566246,-1.7960904117367646,0.04024958108713468,0.05337422912755699,-54.39367817020623,0.06762685433915655,0.08865446974888955,-6.5799855488883265,0.0914608858452087,0.11364901456000692,-0.929791003150068,0.10250291513259585,0.12204634984632197,-2.1144106680523542
224,112,uncertainty_weighted,5.0,0.0721772585255458,0.09373404664727582,-7.669961517298622,0.07221760713077462,0.09242909374886182,-0.4654312446101381,0.08557583609816405,0.11199846992950534,-1.6237088040773244,0.06280491399232076,0.07578285212215446,-1.4818804279365132,0.035221601610490934,0.04736277365587989,-42.61855030197481,0.059920823309708514,0.07702691547460838,-4.722056193032212,0.09150812339492886,0.1129927172148182,-0.9075671450145875,0.09799190414243285,0.11717052962696202,-1.8705365044447744
224,112,lesion_weighted,5.0,0.07583207561763167,0.09757078181547617,-9.691576232562554,0.07541411773186193,0.09450853167281609,-0.5321104996533299,0.08541002253979818,0.11307753191117498,-1.674509192949011,0.06835843214985335,0.08033943520784806,-1.7893082448798365,0.04018341603970241,0.05330108641966319,-54.24196197487243,0.06759322064432814,0.0885532745281553,-6.562690977478528,0.0913547758984285,0.11351665792906844,-0.9252987177741916,0.10251054431944918,0.12206091408158432,-2.1151540203305355
224,112,topk_confident,5.0,0.08342189638269477,0.10637466169330245,-12.494595549194917,0.09230177900102463,0.110571634940282,-1.0971790935250825,0.10968807356579476,0.13785920061255602,-2.9752364433564336,0.07532028068860241,0.09044580222174083,-2.535214682619565,0.04830650534643302,0.061494653629451924,-72.53120643146319,0.06033173110997169,0.07840393667208302,-4.928472953653608,0.09644058742696159,0.11936311466340943,-1.1287233020370762,0.10156431754007532,0.12498387461301205,-2.266135937709481
