org_rel_nef,use,expected_subdir,basename,found_count,status,copied_or_sources
16r/gimmel/26.7/DSC_0090.NEF,1,16r/gimmel/26.7,DSC_0090,1,FOUND_ONE,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/DSC_0090_segment_1_segmented_smoothed.tif
16r/gimmel/26.7/DSC_0091.NEF,1,16r/gimmel/26.7,DSC_0091,1,FOUND_ONE,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/DSC_0091_segment_1_segmented_smoothed.tif
16r/gimmel/26.7/DSC_0092.NEF,1,16r/gimmel/26.7,DSC_0092,1,FOUND_ONE,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/DSC_0092_segment_1_segmented_smoothed.tif
16r/gimmel/26.7/DSC_0093.NEF,1,16r/gimmel/26.7,DSC_0093,1,FOUND_ONE,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/DSC_0093_segment_1_segmented_smoothed.tif
16r/gimmel/26.7/DSC_0094.NEF,1,16r/gimmel/26.7,DSC_0094,1,FOUND_ONE,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/DSC_0094_segment_1_segmented_smoothed.tif
16r/gimmel/26.7/DSC_0096.NEF,1,16r/gimmel/26.7,DSC_0096,1,FOUND_ONE,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/DSC_0096_segment_1_segmented_smoothed.tif
16r/gimmel/26.7/DSC_0099.NEF,1,16r/gimmel/26.7,DSC_0099,1,FOUND_ONE,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/DSC_0099_segment_1_segmented_smoothed.tif
16r/gimmel/26.7/DSC_0100.NEF,1,16r/gimmel/26.7,DSC_0100,1,FOUND_ONE,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/DSC_0100_segment_1_segmented_smoothed.tif
16r/gimmel/26.7/DSC_0102.NEF,1,16r/gimmel/26.7,DSC_0102,1,FOUND_ONE,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/DSC_0102_segment_1_segmented_smoothed.tif
16r/gimmel/26.7/DSC_0103.NEF,1,16r/gimmel/26.7,DSC_0103,1,FOUND_ONE,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/DSC_0103_segment_1_segmented_smoothed.tif
