filename,status,mode,score,n_contours,area_px,mu,lambda,diffusion_rate,alpha,beta,gamma,energy_threshold,overlay16_path,mask16_path,elapsed_seconds
DSC_0261_segment_1_segmented_smoothed.tif,ok,fused,11.373467607907552,138,1155923,0.05,0.4514901897222794,0.1819406430641251,0.0333626855042771,0.132515156578014,0.3051016695190722,72,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0261_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p132515156578014_e72__overlay16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0261_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p132515156578014_e72__mask16.tif,366.494122505188
DSC_0185_segment_1_segmented_smoothed.tif,ok,fused,12.397613573777653,191,1437796,0.2890459871054319,0.2308966714546238,0.2173358652014744,0.0254735194165409,0.1753290462281546,0.2142365345924401,74,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0185_segment_1_segmented_smoothed__fused_INNER_mu0p28904598710543195_b0p17532904622815465_e74__overlay16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0185_segment_1_segmented_smoothed__fused_INNER_mu0p28904598710543195_b0p17532904622815465_e74__mask16.tif,246.95927834510803
DSC_0199_segment_1_segmented_smoothed.tif,ok,fused,12.671207824398117,133,1252038,0.1736278549992057,0.6,0.259137795852897,0.0052176671144479,0.185856801506286,0.5706630638976828,80,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0199_segment_1_segmented_smoothed__fused_INNER_mu0p17362785499920574_b0p18585680150628608_e80__overlay16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0199_segment_1_segmented_smoothed__fused_INNER_mu0p17362785499920574_b0p18585680150628608_e80__mask16.tif,185.43991827964783
DSC_0260_segment_1_segmented_smoothed__1.tif,ok,fused,12.83964088361598,231,963051,0.05,0.6,0.1346682713820245,0.0274288552707486,0.1325373874192348,0.3269002395567288,79,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0260_segment_1_segmented_smoothed__1__fused_INNER_mu0p05_b0p13253738741923488_e79__overlay16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0260_segment_1_segmented_smoothed__1__fused_INNER_mu0p05_b0p13253738741923488_e79__mask16.tif,319.224146604538
DSC_0040_segment_1_segmented_smoothed.tif,ok,fused,12.893525968972366,112,1152521,0.05,0.2366581481364208,0.3456751301866927,0.0194670244685731,0.0569255198684751,0.2874132626633117,73,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0040_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p05692551986847515_e73__overlay16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0040_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p05692551986847515_e73__mask16.tif,309.10594749450684
DSC_0257_segment_1_segmented_smoothed__1.tif,ok,fused,13.259593110916288,325,1912168,0.05,0.2080128555094433,0.2172076030634319,0.0399658538785271,0.0592847098762843,0.3856586183461175,80,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0257_segment_1_segmented_smoothed__1__fused_INNER_mu0p05_b0p05928470987628438_e80__overlay16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0257_segment_1_segmented_smoothed__1__fused_INNER_mu0p05_b0p05928470987628438_e80__mask16.tif,398.65707063674927
DSC_0084_segment_1_segmented_smoothed.tif,ok,fused,13.262434637684166,91,1018283,0.2829917058527584,0.3536848074990786,0.1265056107864184,0.05,0.25,0.2795360330614943,73,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0084_segment_1_segmented_smoothed__fused_INNER_mu0p28299170585275846_b0p25_e73__overlay16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0084_segment_1_segmented_smoothed__fused_INNER_mu0p28299170585275846_b0p25_e73__mask16.tif,249.3757815361023
DSC_0057_segment_1_segmented_smoothed.tif,ok,fused,13.474513243215574,138,1171336,0.0683135597941761,0.0741016722768489,0.2229410220767093,0.0436745618044419,0.218542773088549,0.283425456533158,60,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0057_segment_1_segmented_smoothed__fused_INNER_mu0p06831355979417611_b0p21854277308854908_e60__overlay16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0057_segment_1_segmented_smoothed__fused_INNER_mu0p06831355979417611_b0p21854277308854908_e60__mask16.tif,332.4620954990387
DSC_0070_segment_1_segmented_smoothed.tif,ok,fused,13.59242454775487,186,594506,0.05,0.6,0.2286650803223716,0.0120332258379092,0.25,0.3106326370021885,77,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0070_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p25_e77__overlay16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0070_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p25_e77__mask16.tif,317.0959768295288
DSC_0034_segment_1_segmented_smoothed.tif,ok,fused,13.629852642420014,110,203838,0.05,0.4923506213815636,0.2166415683808368,0.0193417651834657,0.0916177292635042,0.2697398154768418,80,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0034_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p09161772926350421_e80__overlay16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0034_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p09161772926350421_e80__mask16.tif,359.3015069961548
