base,dice,iou,teacher_area_px,student_area_px,mask16_path,overlay16_path,filename
DSC_0106_segment_1_segmented_smoothed,0.0,0.0,0,343406,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0106_segment_1_segmented_smoothed__fused_INNER_mu0p06871186194954564_b0p15054609792359558_e54__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0106_segment_1_segmented_smoothed__fused_INNER_mu0p06871186194954564_b0p15054609792359558_e54__overlay16.tif,DSC_0106_segment_1_segmented_smoothed.tif
DSC_0110_segment_1_segmented_smoothed,0.0,0.0,0,602024,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0110_segment_1_segmented_smoothed__fused_INNER_mu0p07063078851293966_b0p0642611632958932_e73__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0110_segment_1_segmented_smoothed__fused_INNER_mu0p07063078851293966_b0p0642611632958932_e73__overlay16.tif,DSC_0110_segment_1_segmented_smoothed.tif
DSC_0128_segment_1_segmented_smoothed,0.0,0.0,0,379564,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0128_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p0391093138457278_e75__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0128_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p0391093138457278_e75__overlay16.tif,DSC_0128_segment_1_segmented_smoothed.tif
DSC_0129_segment_1_segmented_smoothed,0.0,0.0,0,321929,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0129_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p10692678550598882_e73__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0129_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p10692678550598882_e73__overlay16.tif,DSC_0129_segment_1_segmented_smoothed.tif
DSC_0137_segment_1_segmented_smoothed,0.0,0.0,0,287827,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0137_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p10803709442621255_e66__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0137_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p10803709442621255_e66__overlay16.tif,DSC_0137_segment_1_segmented_smoothed.tif
DSC_0171_segment_1_segmented_smoothed,0.0,0.0,0,324926,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0171_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p23469428233349593_e78__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0171_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p23469428233349593_e78__overlay16.tif,DSC_0171_segment_1_segmented_smoothed.tif
DSC_0217_segment_1_segmented_smoothed,0.0,0.0,0,281867,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0217_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p027719079221904412_e75__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0217_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p027719079221904412_e75__overlay16.tif,DSC_0217_segment_1_segmented_smoothed.tif
DSC_0251_segment_1_segmented_smoothed__1,0.0,0.0,0,2243352,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0251_segment_1_segmented_smoothed__1__fused_INNER_mu0p1130271350668776_b0p21258864697894023_e80__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0251_segment_1_segmented_smoothed__1__fused_INNER_mu0p1130271350668776_b0p21258864697894023_e80__overlay16.tif,DSC_0251_segment_1_segmented_smoothed__1.tif
DSC_0256_segment_1_segmented_smoothed__1,0.0,0.0,0,694253,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0256_segment_1_segmented_smoothed__1__fused_INNER_mu0p05_b0p0986694605663345_e78__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0256_segment_1_segmented_smoothed__1__fused_INNER_mu0p05_b0p0986694605663345_e78__overlay16.tif,DSC_0256_segment_1_segmented_smoothed__1.tif
DSC_0264_segment_1_segmented_smoothed,0.0,0.0,0,309684,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0264_segment_1_segmented_smoothed__fused_INNER_mu0p07581342568451246_b0p19312834562502343_e37__mask16.tif,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0264_segment_1_segmented_smoothed__fused_INNER_mu0p07581342568451246_b0p19312834562502343_e37__overlay16.tif,DSC_0264_segment_1_segmented_smoothed.tif
