threshold,n_total,dice_mean_all,iou_mean_all,dice_median_all,iou_median_all,n_teacher_nonempty,dice_mean_teacher_nonempty,iou_mean_teacher_nonempty,hallucinations_teacher_empty_student_nonempty,misses_teacher_nonempty_student_empty
0.3,174,0.6039386208751555,0.4629534643498451,0.6874927215390025,0.5238011321854674,162,0.6486748150140559,0.49724631356094473,12,0
0.35,174,0.6032678420429235,0.46249064583233923,0.6849796804560511,0.520889075025414,162,0.6479543488609179,0.4967492121902903,12,0
0.4,174,0.6020054582336434,0.4613634904521116,0.68389362324242,0.5196355400869985,162,0.646598455139839,0.4955385638189345,12,0
0.45,174,0.6001573958857489,0.4595694658691533,0.6812964123223861,0.5166412637883897,162,0.6446134992846932,0.49361164852612766,12,0
0.5,174,0.5978974242211779,0.4573116117883688,0.6822921971171627,0.5177871738017592,162,0.6421861223116354,0.4911865459949148,12,0
0.55,174,0.5952171001057424,0.4545748805810088,0.6789389715515008,0.5139349172609475,162,0.6393072556691307,0.48824709395737964,12,0
0.6,174,0.5917939595640552,0.4510413290736395,0.6732373955288748,0.507428706075841,162,0.6356305491613927,0.48445179789390913,12,0
0.65,174,0.5875564842985596,0.44661425005330396,0.6680706150913296,0.5015820345575481,162,0.6310791868391935,0.47969678709428937,12,0
0.7,174,0.5810905427732983,0.4398070133159112,0.6571980847303079,0.48942332225777513,162,0.6241342866824315,0.4723853105985713,12,0
0.75,174,0.5704080438634115,0.4285178079694214,0.6433852337320289,0.47425797062509767,162,0.6126604915569975,0.4602598678190081,12,0
0.8,174,0.5499421267397421,0.4071461713133048,0.6109292502149382,0.439811662067139,162,0.5906785805723155,0.43730514696614226,12,0
